City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,18.4,47,43,6.22,NZ,1738535334
1,anadyr,64.75,177.4833,0.28,100,100,17.88,RU,1738535335
2,avarua,-21.2078,-159.775,30.03,74,34,5.14,CK,1738535336
3,longyearbyen,78.2186,15.6401,2.91,65,75,4.63,SJ,1738535337
4,alice springs,-23.7,133.8833,29.75,35,2,2.57,AU,1738535339
5,gharo,24.7424,67.5856,17.59,18,3,3.31,PK,1738535340
6,sant feliu de guixols,41.7833,3.0333,5.75,86,97,2.74,ES,1738535341
7,port-aux-francais,-49.35,70.2167,3.21,97,100,22.05,TF,1738535342
8,wangon,-7.5161,109.0539,24.34,92,100,1.39,ID,1738535343
9,tiksi,71.6872,128.8694,-25.95,95,100,9.33,RU,1738535344
10,college,64.8569,-147.8028,-9.4,83,100,0.0,US,1738535345
11,tamiahua,21.2667,-97.45,21.53,73,90,3.47,MX,1738535346
12,san clemente del tuyu,-36.3569,-56.7235,25.28,67,2,8.77,AR,1738535347
13,puerto ayora,-0.7393,-90.3518,25.31,95,83,1.34,EC,1738535348
14,port elizabeth,-33.918,25.5701,19.06,91,6,0.89,ZA,1738535350
15,albany,-35.0169,117.8917,18.23,79,100,0.89,AU,1738535351
16,bredasdorp,-34.5322,20.0403,18.98,73,29,2.42,ZA,1738535352
17,salalah,17.0151,54.0924,23.05,28,0,4.63,OM,1738535353
18,manado,1.487,124.8455,23.43,100,20,0.51,ID,1738535354
19,zhukovka,53.534,33.728,-0.65,81,99,3.41,RU,1738535355
20,puerto natales,-51.7236,-72.4875,10.25,62,75,11.32,CL,1738535356
21,edinburgh of the seven seas,-37.0676,-12.3116,18.57,88,91,11.17,SH,1738535357
22,talnakh,69.4865,88.3972,-27.11,90,82,1.26,RU,1738535360
23,grytviken,-54.2811,-36.5092,7.68,74,85,5.12,GS,1738535361
24,gurupi,-11.7292,-49.0686,22.68,94,99,1.05,BR,1738535362
